module,rel_fro,max_absdiff,maxW_a,maxW_b,zero_frac_a,zero_frac_b,zero_rows_a,zero_rows_b,zero_cols_a,zero_cols_b,nonfinite_b
model.layers.31.self_attn.k_proj.weight,0.3245023488998413,0.0189208984375,0.06640625,0.06640625,0.31841349601745605,0.3186483383178711,0,0,0,0,0
model.layers.31.self_attn.o_proj.weight,0.34781691431999207,0.0849609375,0.228515625,0.2333984375,0.33823782205581665,0.33578920364379883,0,0,0,0,0
model.layers.31.self_attn.q_proj.weight,0.31256866455078125,0.0172119140625,0.052734375,0.052734375,0.31900328397750854,0.31902122497558594,0,0,0,0,0
model.layers.31.self_attn.v_proj.weight,0.2972111701965332,0.01434326171875,0.045654296875,0.045654296875,0.32841944694519043,0.3290517330169678,0,0,0,0,0
model.layers.4.mlp.down_proj.weight,0.3383350372314453,0.0299072265625,0.1494140625,0.1494140625,0.3223394751548767,0.32274129986763,0,0,0,0,0
model.layers.4.mlp.gate_proj.weight,0.28837645053863525,0.0252685546875,0.09521484375,0.0947265625,0.31632542610168457,0.3165595233440399,0,0,0,0,0
model.layers.4.mlp.up_proj.weight,0.28789398074150085,0.024169921875,0.0869140625,0.07861328125,0.3164963722229004,0.31694433093070984,0,0,0,0,0
model.layers.4.self_attn.k_proj.weight,0.33568906784057617,0.0321044921875,0.09814453125,0.08935546875,0.32077956199645996,0.32041406631469727,0,0,0,0,0
model.layers.4.self_attn.o_proj.weight,0.34917178750038147,0.025390625,0.09814453125,0.07275390625,0.3300074338912964,0.3305104970932007,0,0,0,0,0
model.layers.4.self_attn.q_proj.weight,0.32466763257980347,0.025634765625,0.09033203125,0.09033203125,0.318581759929657,0.31851398944854736,0,0,0,0,0
model.layers.4.self_attn.v_proj.weight,0.28600233793258667,0.00885009765625,0.0220947265625,0.0220947265625,0.31911802291870117,0.3194575309753418,0,0,0,0,0
model.layers.5.mlp.down_proj.weight,0.3351798355579376,0.02685546875,0.169921875,0.169921875,0.32418254017829895,0.3246908187866211,0,0,0,0,0
model.layers.5.mlp.gate_proj.weight,0.286408394575119,0.024169921875,0.07470703125,0.0751953125,0.31595250964164734,0.31597232818603516,0,0,0,0,0
model.layers.5.mlp.up_proj.weight,0.2872466444969177,0.029296875,0.060546875,0.060791015625,0.3164241909980774,0.31669601798057556,0,0,0,0,0
model.layers.5.self_attn.k_proj.weight,0.3204908072948456,0.0218505859375,0.0654296875,0.0654296875,0.3175945281982422,0.3177947998046875,0,0,0,0,0
model.layers.5.self_attn.o_proj.weight,0.33300647139549255,0.035400390625,0.10595703125,0.10595703125,0.3267520070075989,0.3270798921585083,0,0,0,0,0
model.layers.5.self_attn.q_proj.weight,0.30822038650512695,0.019287109375,0.061767578125,0.0517578125,0.31699055433273315,0.3172447085380554,0,0,0,0,0
model.layers.5.self_attn.v_proj.weight,0.27620935440063477,0.00482177734375,0.01708984375,0.017333984375,0.3187117576599121,0.31899571418762207,0,0,0,0,0
model.layers.6.mlp.down_proj.weight,0.33570557832717896,0.02294921875,0.1171875,0.1171875,0.32810184359550476,0.3288518488407135,0,0,0,0,0
model.layers.6.mlp.gate_proj.weight,0.28927960991859436,0.029541015625,0.08837890625,0.087890625,0.3165799677371979,0.31680208444595337,0,0,0,0,0
model.layers.6.mlp.up_proj.weight,0.28926941752433777,0.017822265625,0.055908203125,0.0556640625,0.31724923849105835,0.31750646233558655,0,0,0,0,0
model.layers.6.self_attn.k_proj.weight,0.3285973072052002,0.0191650390625,0.06640625,0.06689453125,0.3167076110839844,0.31685900688171387,0,0,0,0,0
model.layers.6.self_attn.o_proj.weight,0.33900555968284607,0.0181884765625,0.07275390625,0.07275390625,0.3306823968887329,0.331645667552948,0,0,0,0,0
model.layers.6.self_attn.q_proj.weight,0.3173140287399292,0.02337646484375,0.05615234375,0.053466796875,0.31749147176742554,0.31767135858535767,0,0,0,0,0
model.layers.6.self_attn.v_proj.weight,0.2783840298652649,0.004669189453125,0.0157470703125,0.0157470703125,0.3182656764984131,0.31858301162719727,0,0,0,0,0
model.layers.7.mlp.down_proj.weight,0.3369157016277313,0.028076171875,0.10546875,0.10546875,0.3285457491874695,0.3291289508342743,0,0,0,0,0
model.layers.7.mlp.gate_proj.weight,0.29068103432655334,0.025390625,0.1015625,0.1015625,0.31770041584968567,0.31785109639167786,0,0,0,0,0
model.layers.7.mlp.up_proj.weight,0.2916327714920044,0.02099609375,0.068359375,0.0859375,0.31899112462997437,0.3193572163581848,0,0,0,0,0
model.layers.7.self_attn.k_proj.weight,0.32957932353019714,0.020263671875,0.0810546875,0.0810546875,0.31727004051208496,0.3174147605895996,0,0,0,0,0
model.layers.7.self_attn.o_proj.weight,0.3472438454627991,0.030517578125,0.09423828125,0.0859375,0.3403513431549072,0.34162217378616333,0,0,0,0,0
model.layers.7.self_attn.q_proj.weight,0.3162287473678589,0.01611328125,0.06396484375,0.06396484375,0.3182274103164673,0.31847071647644043,0,0,0,0,0
model.layers.7.self_attn.v_proj.weight,0.2735912501811981,0.00616455078125,0.0189208984375,0.0189208984375,0.32025837898254395,0.32045841217041016,0,0,0,0,0
