layer,head,score
4,27,3.928132355213165e-05
5,0,0.00042375619523227215
5,1,0.0004029273986816406
5,2,1.4502089470624924e-05
5,3,0.0003165043890476227
5,4,0.000214732950553298
5,5,0.00014654523693025112
5,6,9.319907985627651e-05
5,7,3.040244337171316e-05
5,8,7.753539830446243e-05
5,9,0.0002596296835690737
5,10,0.0006725373677909374
5,11,5.2641204092651606e-05
5,12,0.0003393106162548065
5,13,0.00010355585254728794
5,14,1.1016614735126495e-05
5,15,5.1675160648301244e-05
5,16,8.407130371779203e-05
5,17,5.491025513038039e-05
5,18,1.4161341823637486e-06
5,19,5.086534656584263e-05
5,20,5.525967571884394e-05
5,21,1.8085120245814323e-07
5,22,0.0001122867688536644
5,23,0.00024046609178185463
5,24,0.0003382912836968899
5,25,2.9942020773887634e-05
5,26,3.437744453549385e-05
5,27,0.00040943827480077744
6,0,0.00028871651738882065
6,1,9.743939153850079e-05
6,2,0.00012986431829631329
6,3,0.00035126437433063984
6,4,7.624051067978144e-05
6,5,0.00015671493019908667
6,6,0.0002011922188103199
6,7,0.0001221359707415104
6,8,0.0002519674599170685
6,9,0.00037331413477659225
6,10,0.00022197561338543892
6,11,0.000420241616666317
6,12,5.654629785567522e-05
6,13,0.0002200521994382143
6,14,0.00029919063672423363
6,15,0.0004464508965611458
6,16,0.0006235716864466667
6,17,0.00022266642190515995
6,18,5.0552887842059135e-05
6,19,1.044105738401413e-05
6,20,0.00018496369011700153
6,21,7.922062650322914e-05
6,22,0.00039344001561403275
6,23,0.0009331540204584599
6,24,6.790831685066223e-05
6,25,8.249282836914062e-05
6,26,0.00015011336654424667
6,27,8.0848578363657e-05
7,0,0.0001921490766108036
7,1,0.00016172975301742554
7,2,5.7746656239032745e-05
7,3,0.00016899756155908108
7,4,0.0002131299115717411
7,5,0.00016705738380551338
7,6,0.00016944995149970055
7,7,0.0006087734363973141
7,8,0.0009177308529615402
7,9,0.000929701142013073
7,10,0.00036414735950529575
7,11,0.0010005524381995201
7,12,0.0004097181372344494
7,13,0.0005713165737688541
7,14,0.0006982213817536831
7,15,0.0003851447254419327
7,16,0.0005268887616693974
7,17,0.0009433482773602009
7,18,0.0007484043017029762
7,19,0.0002612984972074628
7,20,0.0004964368417859077
7,21,0.00020188326016068459
7,22,0.00011846981942653656
7,23,8.34055244922638e-05
7,24,0.00016228901222348213
7,25,0.0001027336111292243
7,26,1.3713259249925613e-05
7,27,1.2627802789211273e-05
8,0,0.0005571427755057812
8,1,6.465241312980652e-05
8,2,0.0006093652918934822
8,3,5.110376514494419e-05
8,4,0.00012368196621537209
8,5,9.57949087023735e-05
8,6,0.00033996859565377235
8,7,0.00044013746082782745
8,8,9.909970685839653e-05
8,9,0.0004915040917694569
8,10,0.0013378402218222618
8,11,0.0006820415146648884
8,12,0.00033819256350398064
8,13,0.0004945131950080395
8,14,0.0002726190723478794
8,15,6.050802767276764e-06
8,16,5.8371806517243385e-06
8,17,0.00048121088184416294
8,18,0.0004947597626596689
8,19,0.0003037780988961458
8,20,0.00035724975168704987
8,21,0.00017901952378451824
8,22,0.00039497739635407925
8,23,2.480169860064052e-05
8,24,1.4222809113562107e-05
8,25,0.000448948354460299
8,26,0.00039009389001876116
8,27,0.00023235121625475585
9,0,0.0016186153516173363
9,1,0.0016014492139220238
9,2,0.0008474588394165039
9,3,0.00045864342246204615
9,4,0.001948266290128231
9,5,0.00031227897852659225
9,6,0.0009069116786122322
9,7,3.6519020795822144e-05
9,8,0.00010600592941045761
9,9,0.00020580459386110306
9,10,0.00025644374545663595
9,11,0.00015321280807256699
9,12,0.00044973986223340034
9,13,0.00020651984959840775
9,14,0.0007373872213065624
9,15,0.000878860242664814
9,16,0.00019073486328125
9,17,4.951702430844307e-05
9,18,7.300544530153275e-05
9,19,0.00013435306027531624
9,20,0.0004147496074438095
9,21,4.081055521965027e-05
9,22,0.0005139973945915699
9,23,0.00016962271183729172
9,24,0.00016080960631370544
9,25,0.0001902291551232338
9,26,0.0003646735567599535
9,27,0.00010168086737394333
10,0,7.627543527632952e-05
10,1,0.00047617871314287186
10,2,0.0011324966326355934
10,3,4.929106216877699e-05
10,4,0.00011740042828023434
10,5,0.00022342265583574772
10,6,0.00074005126953125
10,7,0.00022921082563698292
10,8,0.0004714769311249256
10,9,0.0013219076208770275
10,10,3.8311583921313286e-05
10,11,0.0008596223779022694
10,12,0.00043546734377741814
10,13,0.0001611383631825447
10,14,0.00023723440244793892
10,15,0.0001805899664759636
10,16,3.614090383052826e-05
10,17,0.00019216537475585938
10,18,0.0007420899346470833
10,19,0.0008660675957798958
10,20,0.00017878087237477303
10,21,0.000250997138209641
10,22,0.0006944723427295685
10,23,0.00078418361954391
10,24,0.000386994332075119
10,25,0.0005029807798564434
10,26,0.00023157848045229912
10,27,8.42029694467783e-05
11,0,0.00045596295967698097
11,1,0.00105239637196064
11,2,0.00014474685303866863
11,3,0.0002709627151489258
11,4,0.00032280245795845985
11,5,0.00042402371764183044
11,6,0.000651458278298378
11,7,0.00019780732691287994
11,8,3.829703200608492e-05
11,9,0.0008843522518873215
11,10,0.00014246534556150436
11,11,0.00018791505135595798
11,12,9.235425386577845e-05
11,13,0.00011659902520477772
11,14,0.00030902307480573654
11,15,0.0006487616337835789
11,16,0.00112129095941782
11,17,0.000991886481642723
11,18,0.00015620514750480652
