tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
gen_q32_none,,,,,,0.7897,7.096,,runs_archive/scores\general_gen_q32_none.csv
gen_q3_fp16,,,,,,0.6637,8.556,,runs_archive/scores\general_gen_q3_fp16.csv
gen_q3_none,,,,,,0.5313,11.962,,runs_archive/scores\general_gen_q3_none.csv
gen_v2heads32,,,,,,0.6691,9.442,,runs_archive/scores\general_gen_v2heads32.csv
gen_v2l_none,,,,,,0.5608,59.237,,runs_archive/scores\general_gen_v2l_none.csv
gen_v2l_tacq,,,,,,0.5882,9.64,,runs_archive/scores\general_gen_v2l_tacq.csv
gen_v2none,,,,,,0.6668,9.705,,runs_archive/scores\general_gen_v2none.csv
gen_v2tacq,,,,,,0.6683,9.349,,runs_archive/scores\general_gen_v2tacq.csv
gen_yi_fp16,,,,,,0.2295,6.113,,runs_archive/scores\general_gen_yi_fp16.csv
gen_yi_none,,,,,,0.2295,9.416,,runs_archive/scores\general_gen_yi_none.csv
gptaq3_llama,0.1499,0.098,0.1894,0.1072,0.205,,,,runs_archive/scores\scores_gptaq3_llama.csv
gptaq3_q14,0.7515,0.6969,0.7758,0.7301,0.8034,,,,runs_archive/scores\scores_gptaq3_q14.csv
gptq3_llama_damp0p99_packed,0.168,0.1072,0.2254,0.1091,0.2302,,,,runs_archive/scores\scores_gptq3_llama_damp0p99_packed.csv
gptq3_q14_damp0p99_packed,0.7687,0.7172,0.7926,0.7486,0.8165,,,,runs_archive/scores\scores_gptq3_q14_damp0p99_packed.csv
gsm_f_l_damp5,,,,,,,,0.6035,runs/scores_gsm8k.csv
gsm_f_l_gptq4,,,,,,,,0.8158,runs/scores_gsm8k.csv
