layer,proj,row,col
1,down_proj,788,687
1,down_proj,788,688
1,down_proj,788,689
1,down_proj,788,690
1,down_proj,788,691
1,down_proj,788,692
1,down_proj,788,693
1,down_proj,788,694
1,down_proj,788,695
1,down_proj,788,696
1,down_proj,788,697
1,down_proj,788,698
1,down_proj,788,699
1,down_proj,788,700
1,down_proj,788,701
1,down_proj,788,702
1,down_proj,788,703
1,down_proj,788,704
1,down_proj,788,705
1,down_proj,788,706
1,down_proj,788,707
1,down_proj,788,708
1,down_proj,788,709
1,down_proj,788,710
1,down_proj,788,711
1,down_proj,788,712
1,down_proj,788,713
1,down_proj,788,714
1,down_proj,788,715
1,down_proj,788,716
1,down_proj,788,717
1,down_proj,788,718
1,down_proj,788,719
1,down_proj,788,720
1,down_proj,788,721
1,down_proj,788,722
1,down_proj,788,723
1,down_proj,788,724
1,down_proj,788,725
1,down_proj,788,726
1,down_proj,788,727
1,down_proj,788,728
1,down_proj,788,729
1,down_proj,788,730
1,down_proj,788,731
1,down_proj,788,732
1,down_proj,788,733
1,down_proj,788,734
1,down_proj,788,735
1,down_proj,788,736
1,down_proj,788,737
1,down_proj,788,738
1,down_proj,788,739
1,down_proj,788,740
1,down_proj,788,741
1,down_proj,788,742
1,down_proj,788,743
1,down_proj,788,744
1,down_proj,788,745
1,down_proj,788,746
1,down_proj,788,747
1,down_proj,788,748
1,down_proj,788,749
1,down_proj,788,750
1,down_proj,788,751
1,down_proj,788,752
1,down_proj,788,753
1,down_proj,788,754
1,down_proj,788,755
1,down_proj,788,756
1,down_proj,788,757
1,down_proj,788,758
