layer,head,score
25,13,0.3253694474697113
25,14,0.3712664842605591
25,15,0.5348422527313232
25,16,0.5019171833992004
25,17,0.38945358991622925
25,18,0.44600221514701843
25,19,0.4311279058456421
25,20,0.45864003896713257
25,21,0.31746724247932434
25,22,0.3002682626247406
25,23,0.18037061393260956
25,24,0.37567564845085144
25,25,0.2516426146030426
25,26,0.3384762704372406
25,27,0.2942667603492737
26,0,0.3732430040836334
26,1,0.28879374265670776
26,2,0.3309071362018585
26,3,0.2597622871398926
26,4,0.2123642861843109
26,5,0.21068249642848969
26,6,0.2539054751396179
26,7,0.38987866044044495
26,8,0.6222158074378967
26,9,0.2848081588745117
26,10,0.4887259304523468
26,11,0.43253785371780396
26,12,0.7128421068191528
26,13,0.4381392300128937
26,14,0.3426224887371063
26,15,0.47313931584358215
26,16,0.282571941614151
26,17,0.23715679347515106
26,18,0.21503636240959167
26,19,0.2942042052745819
26,20,0.3327329456806183
26,21,0.4128248989582062
26,22,0.7545347213745117
26,23,0.5122060179710388
26,24,0.35052725672721863
26,25,0.391080379486084
26,26,0.5429381728172302
26,27,0.28230592608451843
27,0,0.5595376491546631
27,1,0.33625340461730957
27,2,0.616488516330719
27,3,0.3727283179759979
27,4,0.306752473115921
27,5,0.3440525531768799
27,6,0.39642709493637085
27,7,1.3312804698944092
27,8,1.1840893030166626
27,9,1.2129958868026733
27,10,1.5725795030593872
27,11,1.4462474584579468
27,12,1.5532644987106323
27,13,1.5726066827774048
27,14,0.30709129571914673
27,15,0.3434940576553345
27,16,0.4209428131580353
27,17,0.3456454873085022
27,18,0.29727479815483093
27,19,0.3362821936607361
27,20,0.34093064069747925
27,21,0.4832841455936432
27,22,0.3859127461910248
27,23,0.4476875364780426
27,24,0.4311566948890686
27,25,0.6075041890144348
27,26,0.7112232446670532
27,27,0.46639886498451233
